pl_name,hostname,pl_eqt,pl_rade,pl_insol,pl_orbper,st_teff,sy_vmag,sy_snum,temp_score,radius_score,insolation_score,period_score,stellar_temp_score,observability_score,system_score,priority_score,priority_band,reference_source,authoritative_match
TOI-1452 b,TOI-1452,326.0,1.672,1.8,11.06201,3185.0,14.354,2,0.6695756596090863,0.6366189481297825,0.07730474044329971,2.9471106886786053e-05,0.28560205184892745,0.1700101182643103,0.75,0.39240948226158934,Context,,不在参考中
Kepler-1704 b,Kepler-1704,253.8,11.94877343,0.342,988.88112,5746.0,13.392,1,0.7225996099901937,8.683027925718733e-53,0.1769556752651468,0.21115874851204575,0.9120950150997313,0.2590117940742199,1.0,0.36351645166568003,Context,,不在参考中
LHS 1140 b,LHS 1140,226.0,1.73,0.43,24.73723,3096.0,14.15,1,0.3437716061308445,0.586900487959338,0.27264082755667685,0.008687360367696552,0.2550485819374961,0.18660508209316082,1.0,0.3502854603050933,Context,NASA Exoplanet Archive,匹配
K2-3 c,K2-3,371.8,1.582,3.17,24.646729,3844.0,12.168,1,0.14217767405418105,0.7126791213846686,6.60393601341784e-09,0.0012475870790557223,0.5669347217272434,0.40827256525870087,1.0,0.3385170016828642,Context,,不在参考中
HIP 41378 d,HIP 41378,367.0,3.54,3.01,278.3618,6320.0,8.93,1,0.176645370782393,0.001577995355256077,9.58577993878428e-08,0.7763659496651111,0.678982113743459,0.8065548316453399,1.0,0.33077013771431213,Context,,不在参考中
TOI-1468 c,TOI-1468,338.1,2.126,2.13,15.532477,3376.0,12.5,1,0.49796524178786844,0.28142874206029034,0.006050586920450516,0.0002015350284065467,0.3581352951919516,0.3645764407416393,1.0,0.3096430867753181,Context,,不在参考中
Kepler-2000 c,Kepler-2000,359.0,1.57,3.92,20.6180348,3757.0,15.642,1,0.24652847429784697,0.7225996099901936,1.5421482238081542e-15,0.00047914648169015115,0.5258867232658984,0.09103098107042644,1.0,0.306115859736492,Context,,不在参考中
K2-415 b,K2-415,412.4,1.015,4.82,4.0179694,3173.0,15.33,1,0.013586058652273265,0.9997750253106017,4.471001433373047e-26,1.9296613609169367e-09,0.2813583276710504,0.1064261393972304,1.0,0.29924936455101536,Context,,不在参考中
L 98-59 d,L 98-59,416.0,1.627,4.97,7.450729,3415.0,11.685,1,0.0105554695661988,0.6749416744940298,4.1736151548167015e-28,3.65205815748525e-07,0.3740361689662053,0.47432814980521965,1.0,0.29884174740395136,Context,,不在参考中
TOI-2285 b,TOI-2285,358.0,1.77,3.91,13.635109,3491.0,13.403,1,0.2563757566864122,0.5527220643033939,1.947168750922231e-15,5.1876340945511166e-05,0.40598269108433205,0.25784064939784335,1.0,0.2939034642154333,Context,,不在参考中
TOI-5713 b,TOI-5713,347.2,1.77,2.2554,10.441989,3225.0,15.355,1,0.37775436935306095,0.5527220643033939,0.0018287609096782973,1.5831715767323776e-05,0.3000228606872734,0.1051125131900544,1.0,0.28951197030793097,Context,,不在参考中
TOI-1231 b,TOI-1231,329.6,3.65,1.93,24.245586,3553.0,12.36,1,0.6183435244766649,0.0008915937199952196,0.031442336437891315,0.0023578450088901173,0.43291018389064123,0.38277700777428636,1.0,0.28932131708514014,Context,,不在参考中
Kepler-849 b,Kepler-849,362.7,8.08167508,2.86,394.62508,5950.0,12.878,1,0.21224266769372438,1.6598879617615943e-22,9.773705338968369e-07,0.9982176921244525,0.8406237433345053,0.3174413120861836,1.0,0.2783726923187295,Context,,不在参考中
TOI-237 b,TOI-237,388.0,1.44,3.7,5.436098,3212.0,16.37,1,0.06217652402211629,0.8239874333317032,2.167568882618954e-13,4.0040710299196794e-08,0.2952899479724786,0.06264633026755245,1.0,0.26519334062808664,Context,,不在参考中
Kepler-111 c,Kepler-111,352.2,7.0840758,2.48,224.77833,5914.0,13.543,1,0.3182557417733709,8.397787184705122e-17,0.00015663379391802596,0.6597996917085218,0.8544097114490493,0.2432395493801895,1.0,0.26424124902057305,Context,,不在参考中
LP 890-9 b,LP 890-9,396.0,1.32,4.09,2.7299025,2850.0,18.0,1,0.039163895098987066,0.9026684120809421,2.5897117624751555e-17,1.455194896160792e-10,0.18186778560095973,0.026310839550463053,1.0,0.2636344037483466,Context,,不在参考中
TOI-1680 b,TOI-1680,404.0,1.466,4.41,4.8026345,3225.0,15.87,1,0.023806948722728996,0.8048044100236685,6.3084307487538145e-21,1.0307296686860778e-08,0.3000228606872734,0.08107888003700427,1.0,0.25536620877114297,Context,,不在参考中
LP 791-18 c,LP 791-18,324.4,2.438,2.637,4.9899093,2960.0,16.91,1,0.6920864216086625,0.12645813173823267,2.2118946699658903e-05,5.831573554194038e-08,0.21253640762166995,0.04717552183707649,1.0,0.25516929463212895,Context,,不在参考中
TOI-2096 c,TOI-2096,349.0,1.914,3.7,6.38784,3300.0,15.92,1,0.3557200936751701,0.4337027011530838,2.167568882618954e-13,1.3491073134421964e-07,0.3281785263999339,0.07903323020119783,1.0,0.2547041205488284,Context,,不在参考中
TOI-712 c,TOI-712,369.9,2.701,3.08,51.69906,4622.0,10.838,1,0.1551713948118252,0.05538751896781424,3.049814423311701e-08,0.017618194097316433,0.9020256291070332,0.5909219022633507,1.0,0.25132333009903357,Context,,不在参考中
